Designator,Mid X,Mid Y,Layer,Rotation
C207,50.060099mm,27.729993mm,Bottom,270.0
C200,41.660099mm,27.729993mm,Bottom,270.0
C201,42.859999mm,27.729993mm,Bottom,270.0
C202,44.060099mm,27.729993mm,Bottom,270.0
C203,45.259999mm,27.729993mm,Bottom,270.0
C195,53.310099mm,35.729993mm,Bottom,270.0
C190,67.809999mm,36.029993000000005mm,Bottom,0.0
C185,46.209998999999996mm,35.729993mm,Bottom,270.0
C180,62.009999mm,36.029993000000005mm,Bottom,0.0
C175,56.210099mm,36.029993000000005mm,Bottom,0.0
C170,73.61009899999999mm,36.029993000000005mm,Bottom,0.0
C142,79.959999mm,23.829993mm,Bottom,270.0
C141,78.759999mm,23.829993mm,Bottom,270.0
C139,77.56009900000001mm,23.829993mm,Bottom,90.0
C135,76.359999mm,23.829993mm,Bottom,270.0
C211,54.859999mm,27.729993mm,Bottom,270.0
C210,53.660099mm,27.729993mm,Bottom,270.0
C209,52.459998999999996mm,27.729993mm,Bottom,270.0
C208,51.260099mm,27.729993mm,Bottom,270.0
C147,54.660099mm,47.129993mm,Bottom,90.0
F101,43.609999mm,60.47999300000001mm,Bottom,180.0
R134,53.660099mm,53.054992999999996mm,Bottom,0.0
R133,53.660099mm,54.22999300000001mm,Bottom,0.0
C133,53.660099mm,51.879993mm,Bottom,180.0
R131,60.834998999999996mm,39.154993000000005mm,Bottom,180.0
U101,43.359999mm,56.929992999999996mm,Top,270.0
R130,51.460099mm,44.829993mm,Bottom,90.0
R129,51.460099mm,40.729993mm,Bottom,90.0
Y101,56.759999mm,54.72999300000001mm,Bottom,270.0
C116,57.059999mm,52.829993mm,Bottom,180.0
C115,57.259999mm,56.72999300000001mm,Bottom,180.0
C124,55.159999mm,42.679992999999996mm,Bottom,180.0
R121,54.660099mm,49.029993000000005mm,Bottom,270.0
R106,62.035099mm,59.904993000000005mm,Bottom,90.0
J101,50.779999mm,60.114993mm,Top,180.0
C129,55.159999mm,50.729993mm,Bottom,180.0
C128,64.36009899999999mm,60.629993mm,Bottom,90.0
C121,63.435098999999994mm,39.654993000000005mm,Bottom,270.0
C118,68.535099mm,39.254993mm,Bottom,0.0
C110,75.410099mm,58.529993000000005mm,Bottom,0.0
C109,75.660099mm,51.729993mm,Bottom,90.0
C108,75.709999mm,46.029993000000005mm,Bottom,90.0
R105,76.260099mm,42.429992999999996mm,Bottom,180.0
R104,75.659999mm,49.229993mm,Bottom,90.0
R103,76.260099mm,41.429992999999996mm,Bottom,180.0
R125,70.559999mm,42.129993mm,Bottom,180.0
C104,40.909999mm,59.379993mm,Bottom,90.0
C137,48.059999mm,57.129993mm,Bottom,180.0
D101,41.909999mm,53.429992999999996mm,Bottom,180.0
C101,51.609999mm,60.779993000000005mm,Bottom,0.0
R102,80.359999mm,61.029993000000005mm,Bottom,180.0
R101,49.560099mm,50.429992999999996mm,Bottom,270.0
D102,78.95939899999999mm,59.473192999999995mm,Top,90.0
Y102,57.460099mm,47.229993mm,Bottom,90.0
R122,73.959999mm,42.129993mm,Bottom,90.0
R123,72.960099mm,42.129993mm,Bottom,90.0
R127,59.534999mm,60.304992999999996mm,Bottom,270.0
R128,62.335099mm,39.654993000000005mm,Bottom,270.0
D106,49.609999mm,53.129993mm,Top,180.0
D105,49.609999mm,51.329993mm,Top,180.0
D107,51.409999mm,56.029993000000005mm,Bottom,180.0
D104,49.609999mm,49.529993000000005mm,Top,180.0
D103,49.609999mm,47.729993mm,Top,180.0
C140,54.660099mm,56.529993000000005mm,Bottom,270.0
C132,57.160099mm,50.829993mm,Bottom,180.0
C136,57.359999mm,43.629993mm,Bottom,180.0
C127,54.810099mm,44.029993000000005mm,Bottom,180.0
C138,46.434999mm,60.679992999999996mm,Bottom,270.0
C130,56.163199mm,38.280293mm,Bottom,0.0
C131,73.359999mm,39.129993mm,Bottom,90.0
C122,68.459999mm,60.329993mm,Bottom,180.0
C114,75.409999mm,57.529993000000005mm,Bottom,180.0
C119,57.959998999999996mm,60.629993mm,Bottom,180.0
C103,39.859999mm,59.379993mm,Bottom,90.0
C113,75.559999mm,39.829993mm,Bottom,180.0
C102,45.059999mm,53.529993000000005mm,Bottom,90.0
U105,65.284999mm,49.779993000000005mm,Top,270.0
